,run,epoch,accuracy,epoch duration,run duration,lr,batch_size,device
0,1,1,0.7169,16.161725521087646,47.794660806655884,0.001,100,cuda
1,1,2,0.8282833333333334,15.166297674179077,63.734513998031616,0.001,100,cuda
2,2,1,0.7140333333333333,36.02732491493225,36.83186316490173,0.001,100,cpu
3,2,2,0.8106166666666667,35.17281794548035,72.29951238632202,0.001,100,cpu
4,3,1,0.48395,11.625327587127686,12.589775085449219,0.001,1000,cuda
5,3,2,0.6984666666666667,11.584350824356079,24.336034059524536,0.001,1000,cuda
6,4,1,0.4787666666666667,26.38785743713379,28.752540588378906,0.001,1000,cpu
7,4,2,0.6980333333333333,28.105971813201904,57.19232153892517,0.001,1000,cpu
